Number,Name,Class,Position,Hometown,Team,Simple.Hometown,Label,Season
13,Cullen Munson,FR,F,"Edina, Minnesota",Minnesota,edina minnesota,"Minnesota: 13 Cullen Munson - Edina, Minnesota (FR-F)",20172018
15,Rem Pitlick,SO,F,"Plymouth, Minnesota",Minnesota,plymouth minnesota,"Minnesota: 15 Rem Pitlick - Plymouth, Minnesota (SO-F)",20172018
16,Jack Ramsey,JR,F,"Chanhassen, Minnesota",Minnesota,chanhassen minnesota,"Minnesota: 16 Jack Ramsey - Chanhassen, Minnesota (JR-F)",20172018
17,Tommy Novak,JR,F,"River Falls, Wisconsin",Minnesota,river falls wisconsin,"Minnesota: 17 Tommy Novak - River Falls, Wisconsin (JR-F)",20172018
18,Leon Bristedt,SR,F,"Stockholm, Sweden",Minnesota,stockholm sweden,"Minnesota: 18 Leon Bristedt - Stockholm, Sweden (SR-F)",20172018
19,Scott Reedy,FR,F,"Prior Lake, Minnesota",Minnesota,prior lake minnesota,"Minnesota: 19 Scott Reedy - Prior Lake, Minnesota (FR-F)",20172018
20,Ryan Zuhlsdorf,SO,D,"Edina, Minnesota",Minnesota,edina minnesota,"Minnesota: 20 Ryan Zuhlsdorf - Edina, Minnesota (SO-D)",20172018
21,Casey Mittelstadt,FR,F,"Eden Prairie, Minnesota",Minnesota,eden prairie minnesota,"Minnesota: 21 Casey Mittelstadt - Eden Prairie, Minnesota (FR-F)",20172018
22,Tyler Sheehy,JR,F,"Burnsville, Minnesota",Minnesota,burnsville minnesota,"Minnesota: 22 Tyler Sheehy - Burnsville, Minnesota (JR-F)",20172018
23,Ryan Norman,JR,F,"Maplewood, Minnesota",Minnesota,maplewood minnesota,"Minnesota: 23 Ryan Norman - Maplewood, Minnesota (JR-F)",20172018
25,Connor Hurley,SR,F,"Edina, Minnesota",Minnesota,edina minnesota,"Minnesota: 25 Connor Hurley - Edina, Minnesota (SR-F)",20172018
26,Darian Romanko,JR,F,"Shoreview, Minnesota",Minnesota,shoreview minnesota,"Minnesota: 26 Darian Romanko - Shoreview, Minnesota (JR-F)",20172018
28,Sam Rossini,FR,D,"Burnville, Minnesota",Minnesota,burnville minnesota,"Minnesota: 28 Sam Rossini - Burnville, Minnesota (FR-D)",20172018
29,Tyler Nanne,SO,D,"Edina, Minnesota",Minnesota,edina minnesota,"Minnesota: 29 Tyler Nanne - Edina, Minnesota (SO-D)",20172018
34,Nick Lehr,SR,G,"Roseville, Minnesota",Minnesota,roseville minnesota,"Minnesota: 34 Nick Lehr - Roseville, Minnesota (SR-G)",20172018
37,Eric Schierhorn,JR,G,"Anchorage, Alaska",Minnesota,anchorage alaska,"Minnesota: 37 Eric Schierhorn - Anchorage, Alaska (JR-G)",20172018
40,Mat Robson,SO,G,"Mississauga, Ontario",Minnesota,mississauga ontario,"Minnesota: 40 Mat Robson - Mississauga, Ontario (SO-G)",20172018
2,Connor Mackey,FR,D,"Tower Lakes, Illinois",Minnesota State,tower lakes illinois,"Minnesota State: 02 Connor Mackey - Tower Lakes, Illinois (FR-D)",20172018
3,Jack McNeely,FR,D,"Lakeville, Minnesota",Minnesota State,lakeville minnesota,"Minnesota State: 03 Jack McNeely - Lakeville, Minnesota (FR-D)",20172018
4,Clint Lewis,SR,D,"Burnsville, Minnesota",Minnesota State,burnsville minnesota,"Minnesota State: 04 Clint Lewis - Burnsville, Minnesota (SR-D)",20172018
5,Jake Jaremko,FR,F,"Nowthen, Minnesota",Minnesota State,nowthen minnesota,"Minnesota State: 05 Jake Jaremko - Nowthen, Minnesota (FR-F)",20172018
6,Parker Tuomie,SO,F,"Bremerhaven, Germany",Minnesota State,bremerhaven germany,"Minnesota State: 06 Parker Tuomie - Bremerhaven, Germany (SO-F)",20172018
7,Steen Cooper,JR,F,"Duncan, British Columbia",Minnesota State,duncan british columbia,"Minnesota State: 07 Steen Cooper - Duncan, British Columbia (JR-F)",20172018
8,Daniel Brickley,JR,D,"Sandy, Utah",Minnesota State,sandy utah,"Minnesota State: 08 Daniel Brickley - Sandy, Utah (JR-D)",20172018
9,Charlie Gerard,SO,F,"Rocky River, Ohio",Minnesota State,rocky river ohio,"Minnesota State: 09 Charlie Gerard - Rocky River, Ohio (SO-F)",20172018
10,Zeb Knutson,SR,F,"Sioux Falls, South Dakota",Minnesota State,sioux falls south dakota,"Minnesota State: 10 Zeb Knutson - Sioux Falls, South Dakota (SR-F)",20172018
11,Jared Spooner,FR,F,"Bismarck, North Dakota",Minnesota State,bismarck north dakota,"Minnesota State: 11 Jared Spooner - Bismarck, North Dakota (FR-F)",20172018
12,Max Coatta,JR,F,"Minnetonka, Minnesota",Minnesota State,minnetonka minnesota,"Minnesota State: 12 Max Coatta - Minnetonka, Minnesota (JR-F)",20172018
14,Michael Bigelbach,SO,D,"Red Wing, Minnesota",Minnesota State,red wing minnesota,"Minnesota State: 14 Michael Bigelbach - Red Wing, Minnesota (SO-D)",20172018
15,C.J. Suess,SR,F,"Forest Lake, Minnesota",Minnesota State,forest lake minnesota,"Minnesota State: 15 C.J. Suess - Forest Lake, Minnesota (SR-F)",20172018
16,Reggie Lutz,FR,F,"Elk River, Minnesota",Minnesota State,elk river minnesota,"Minnesota State: 16 Reggie Lutz - Elk River, Minnesota (FR-F)",20172018
17,Walker Duehr,FR,F,"Sioux Falls, South Dakota",Minnesota State,sioux falls south dakota,"Minnesota State: 17 Walker Duehr - Sioux Falls, South Dakota (FR-F)",20172018
18,Ian Scheid,SO,D,"Coon Rapids, Minnesota",Minnesota State,coon rapids minnesota,"Minnesota State: 18 Ian Scheid - Coon Rapids, Minnesota (SO-D)",20172018
19,Brad McClure,SR,F,"Stratford, Ontario",Minnesota State,stratford ontario,"Minnesota State: 19 Brad McClure - Stratford, Ontario (SR-F)",20172018
20,Marc Michaelis,SO,F,"Mannheim, Germany",Minnesota State,mannheim germany,"Minnesota State: 20 Marc Michaelis - Mannheim, Germany (SO-F)",20172018
21,Alec Vanko,JR,D,"Oregon, Wisconsin",Minnesota State,oregon wisconsin,"Minnesota State: 21 Alec Vanko - Oregon, Wisconsin (JR-D)",20172018
22,Dallas Gerads,FR,F,"Blaine, Minnesota",Minnesota State,blaine minnesota,"Minnesota State: 22 Dallas Gerads - Blaine, Minnesota (FR-F)",20172018
23,Nicholas Rivera,SO,F,"Pacific Palisades, California",Minnesota State,pacific palisades california,"Minnesota State: 23 Nicholas Rivera - Pacific Palisades, California (SO-F)",20172018
24,Edwin Hookenson,SO,D,"Lampman, Saskatchewan",Minnesota State,lampman saskatchewan,"Minnesota State: 24 Edwin Hookenson - Lampman, Saskatchewan (SO-D)",20172018
25,Riese Zmolek,FR,D,"Rochester, Minnesota",Minnesota State,rochester minnesota,"Minnesota State: 25 Riese Zmolek - Rochester, Minnesota (FR-D)",20172018
26,Josh French,SO,F,"Woodbury, Minnesota",Minnesota State,woodbury minnesota,"Minnesota State: 26 Josh French - Woodbury, Minnesota (SO-F)",20172018
27,Ryan Schwalbe,JR,F,"Anchorage, Alaska",Minnesota State,anchorage alaska,"Minnesota State: 27 Ryan Schwalbe - Anchorage, Alaska (JR-F)",20172018
29,Aaron Nelson,SR,G,"Bismarck, North Dakota",Minnesota State,bismarck north dakota,"Minnesota State: 29 Aaron Nelson - Bismarck, North Dakota (SR-G)",20172018
37,Connor LaCouvee,SR,G,"Qualicum Beach, British Columbia",Minnesota State,qualicum beach british columbia,"Minnesota State: 37 Connor LaCouvee - Qualicum Beach, British Columbia (SR-G)",20172018
39,Jason Pawloski,JR,G,"Omaha, Nebraska",Minnesota State,omaha nebraska,"Minnesota State: 39 Jason Pawloski - Omaha, Nebraska (JR-G)",20172018
3,Mikey Anderson,FR,D,"Roseville, Minnesota",Minnesota-Duluth,roseville minnesota,"Minnesota-Duluth: 03 Mikey Anderson - Roseville, Minnesota (FR-D)",20172018
4,Dylan Samberg,FR,D,"Hermantown, Minnesota",Minnesota-Duluth,hermantown minnesota,"Minnesota-Duluth: 04 Dylan Samberg - Hermantown, Minnesota (FR-D)",20172018
5,Nick Wolff,SO,D,"Eagan, Minnesota",Minnesota-Duluth,eagan minnesota,"Minnesota-Duluth: 05 Nick Wolff - Eagan, Minnesota (SO-D)",20172018
6,Louie Roehl,FR,D,"Eden Prairie, Minnesota",Minnesota-Duluth,eden prairie minnesota,"Minnesota-Duluth: 06 Louie Roehl - Eden Prairie, Minnesota (FR-D)",20172018
7,Scott Perunovich,FR,D,"Hibbing, Minnesota",Minnesota-Duluth,hibbing minnesota,"Minnesota-Duluth: 07 Scott Perunovich - Hibbing, Minnesota (FR-D)",20172018
8,Kobe Bender,FR,F,"Cloquet, Minnesota",Minnesota-Duluth,cloquet minnesota,"Minnesota-Duluth: 08 Kobe Bender - Cloquet, Minnesota (FR-F)",20172018
10,Kobe Roth,FR,F,"Warroad, Minnesota",Minnesota-Duluth,warroad minnesota,"Minnesota-Duluth: 10 Kobe Roth - Warroad, Minnesota (FR-F)",20172018
11,Avery Peterson,SR,F,"Grand Rapids, Minnesota",Minnesota-Duluth,grand rapids minnesota,"Minnesota-Duluth: 11 Avery Peterson - Grand Rapids, Minnesota (SR-F)",20172018
12,Jarod Hilderman,SO,D,"Kamsack, Saskatchewan",Minnesota-Duluth,kamsack saskatchewan,"Minnesota-Duluth: 12 Jarod Hilderman - Kamsack, Saskatchewan (SO-D)",20172018
13,Joey Anderson,SO,F,"Roseville, Minnesota",Minnesota-Duluth,roseville minnesota,"Minnesota-Duluth: 13 Joey Anderson - Roseville, Minnesota (SO-F)",20172018
16,Billy Exell,JR,F,"Thunder Bay, Ontario",Minnesota-Duluth,thunder bay ontario,"Minnesota-Duluth: 16 Billy Exell - Thunder Bay, Ontario (JR-F)",20172018
17,Blake Young,SR,F,"Battleford, Saskatchewan",Minnesota-Duluth,battleford saskatchewan,"Minnesota-Duluth: 17 Blake Young - Battleford, Saskatchewan (SR-F)",20172018
18,Nick McCormack,SR,D,"Ramsey, Minnesota",Minnesota-Duluth,ramsey minnesota,"Minnesota-Duluth: 18 Nick McCormack - Ramsey, Minnesota (SR-D)",20172018
19,Justin Richards,FR,F,"Columbus, Ohio",Minnesota-Duluth,columbus ohio,"Minnesota-Duluth: 19 Justin Richards - Columbus, Ohio (FR-F)",20172018
20,Karson Kuhlman,SR,F,"Esko, Minnesota",Minnesota-Duluth,esko minnesota,"Minnesota-Duluth: 20 Karson Kuhlman - Esko, Minnesota (SR-F)",20172018
21,Matt Anderson,FR,D,"Shakopee, Minnesota",Minnesota-Duluth,shakopee minnesota,"Minnesota-Duluth: 21 Matt Anderson - Shakopee, Minnesota (FR-D)",20172018
22,Jared Thomas,SR,C,"Hermantown, Minnesota",Minnesota-Duluth,hermantown minnesota,"Minnesota-Duluth: 22 Jared Thomas - Hermantown, Minnesota (SR-C)",20172018
23,Nick Swaney,FR,F,"Lakeville, Minnesota",Minnesota-Duluth,lakeville minnesota,"Minnesota-Duluth: 23 Nick Swaney - Lakeville, Minnesota (FR-F)",20172018
25,Peter Krieger,JR,F,"Oakdale, Minnesota",Minnesota-Duluth,oakdale minnesota,"Minnesota-Duluth: 25 Peter Krieger - Oakdale, Minnesota (JR-F)",20172018
26,Jade Miller,SO,F,"Minto, North Dakota",Minnesota-Duluth,minto north dakota,"Minnesota-Duluth: 26 Jade Miller - Minto, North Dakota (SO-F)",20172018
27,Riley Tufte,SO,F,"Blaine, Minnesota",Minnesota-Duluth,blaine minnesota,"Minnesota-Duluth: 27 Riley Tufte - Blaine, Minnesota (SO-F)",20172018
28,Sammy Spurrell,SR,F,"Sherwood, Alberta",Minnesota-Duluth,sherwood alberta,"Minnesota-Duluth: 28 Sammy Spurrell - Sherwood, Alberta (SR-F)",20172018
32,Hunter Shepard,SO,G,"Cohasset, Minnesota",Minnesota-Duluth,cohasset minnesota,"Minnesota-Duluth: 32 Hunter Shepard - Cohasset, Minnesota (SO-G)",20172018
36,Ben Patt,FR,G,"Brampton, Ontario",Minnesota-Duluth,brampton ontario,"Minnesota-Duluth: 36 Ben Patt - Brampton, Ontario (FR-G)",20172018
37,Nick Deery,SO,G,"La Crosse, Wisconsin",Minnesota-Duluth,la crosse wisconsin,"Minnesota-Duluth: 37 Nick Deery - La Crosse, Wisconsin (SO-G)",20172018
39,Parker Mackay,JR,F,"Irma, Alberta",Minnesota-Duluth,irma alberta,"Minnesota-Duluth: 39 Parker Mackay - Irma, Alberta (JR-F)",20172018
1,Alex Blankenburg,JR,G,"Washington, Michigan",Nebraska-Omaha,washington michigan,"Nebraska-Omaha: 01 Alex Blankenburg - Washington, Michigan (JR-G)",20172018
5,Joel Messner,SR,D,"Lorette, Manitoba",Nebraska-Omaha,lorette manitoba,"Nebraska-Omaha: 05 Joel Messner - Lorette, Manitoba (SR-D)",20172018
6,LukaAs Buchta,JR,D,"FryAstA!k, Czech Republic",Nebraska-Omaha,fryastak czech republic,"Nebraska-Omaha: 06 LukaAs Buchta - FryAstA!k, Czech Republic (JR-D)",20172018
7,Colin Grannary,SO,F,"Delta, British Columbia",Nebraska-Omaha,delta british columbia,"Nebraska-Omaha: 07 Colin Grannary - Delta, British Columbia (SO-F)",20172018
8,Lawson McDonald,FR,D,"Winkler, Manitoba",Nebraska-Omaha,winkler manitoba,"Nebraska-Omaha: 08 Lawson McDonald - Winkler, Manitoba (FR-D)",20172018
9,Riley Alferd,JR,F,"Vancouver, Washington",Nebraska-Omaha,vancouver washington,"Nebraska-Omaha: 09 Riley Alferd - Vancouver, Washington (JR-F)",20172018
10,Tyler Vesel,SR,F,"Rochester, Minnesota",Nebraska-Omaha,rochester minnesota,"Nebraska-Omaha: 10 Tyler Vesel - Rochester, Minnesota (SR-F)",20172018
11,Mason Morelli,JR,F,"Minot, North Dakota",Nebraska-Omaha,minot north dakota,"Nebraska-Omaha: 11 Mason Morelli - Minot, North Dakota (JR-F)",20172018
12,David Pope,SR,F,"Edmonton, Alberta",Nebraska-Omaha,edmonton alberta,"Nebraska-Omaha: 12 David Pope - Edmonton, Alberta (SR-F)",20172018
13,Jake Randolph,SR,F,"Duluth, Minnesota",Nebraska-Omaha,duluth minnesota,"Nebraska-Omaha: 13 Jake Randolph - Duluth, Minnesota (SR-F)",20172018
14,Teemu Pulkkinen,SO,F,"Kirkkonummi, Finland",Nebraska-Omaha,kirkkonummi finland,"Nebraska-Omaha: 14 Teemu Pulkkinen - Kirkkonummi, Finland (SO-F)",20172018
15,Jalen Schulz,JR,D,"Cambridge, Minnesota",Nebraska-Omaha,cambridge minnesota,"Nebraska-Omaha: 15 Jalen Schulz - Cambridge, Minnesota (JR-D)",20172018
16,Martin Sundberg,FR,F,"LinkA?ping, Sweden",Nebraska-Omaha,linkaping sweden,"Nebraska-Omaha: 16 Martin Sundberg - LinkA?ping, Sweden (FR-F)",20172018
17,Luke Nogard,SR,F,"Ancaster, Ontario",Nebraska-Omaha,ancaster ontario,"Nebraska-Omaha: 17 Luke Nogard - Ancaster, Ontario (SR-F)",20172018
18,Dean Stewart,SO,D,"Portage la Prairie, Manitoba",Nebraska-Omaha,portage la prairie manitoba,"Nebraska-Omaha: 18 Dean Stewart - Portage la Prairie, Manitoba (SO-D)",20172018
19,Tristan Keck,SO,F,"Morris, Manitoba",Nebraska-Omaha,morris manitoba,"Nebraska-Omaha: 19 Tristan Keck - Morris, Manitoba (SO-F)",20172018
20,Ryan Jones,SO,D,"Crown Point, Indiana",Nebraska-Omaha,crown point indiana,"Nebraska-Omaha: 20 Ryan Jones - Crown Point, Indiana (SO-D)",20172018
21,Ryan Galt,JR,F,"Omaha, Nebraska",Nebraska-Omaha,omaha nebraska,"Nebraska-Omaha: 21 Ryan Galt - Omaha, Nebraska (JR-F)",20172018
22,Jordan Klehr,JR,D,"Lino Lakes, Minnesota",Nebraska-Omaha,lino lakes minnesota,"Nebraska-Omaha: 22 Jordan Klehr - Lino Lakes, Minnesota (JR-D)",20172018
23,Grant Gallo,SR,D,"San Diego, California",Nebraska-Omaha,san diego california,"Nebraska-Omaha: 23 Grant Gallo - San Diego, California (SR-D)",20172018
24,Cole Pickup,FR,F,"Victoria, British Columbia",Nebraska-Omaha,victoria british columbia,"Nebraska-Omaha: 24 Cole Pickup - Victoria, British Columbia (FR-F)",20172018
26,Steven Spinner,JR,F,"Eden Prairie, Minnesota",Nebraska-Omaha,eden prairie minnesota,"Nebraska-Omaha: 26 Steven Spinner - Eden Prairie, Minnesota (JR-F)",20172018
27,Zach Jordan,SO,F,"Collinsville, Illinois",Nebraska-Omaha,collinsville illinois,"Nebraska-Omaha: 27 Zach Jordan - Collinsville, Illinois (SO-F)",20172018
28,Fredrik Olofsson,JR,F,"Broomfield, Colorado",Nebraska-Omaha,broomfield colorado,"Nebraska-Omaha: 28 Fredrik Olofsson - Broomfield, Colorado (JR-F)",20172018
33,Kris Oldham,SO,G,"Anchorage, Alaska",Nebraska-Omaha,anchorage alaska,"Nebraska-Omaha: 33 Kris Oldham - Anchorage, Alaska (SO-G)",20172018
35,Evan Weninger,JR,G,"Saskatoon, Saskatchewan",Nebraska-Omaha,saskatoon saskatchewan,"Nebraska-Omaha: 35 Evan Weninger - Saskatoon, Saskatchewan (JR-G)",20172018
5,Dylan Chanter,SR,D,"Armstrong, British Columbia",New Hampshire,armstrong british columbia,"New Hampshire: 05 Dylan Chanter - Armstrong, British Columbia (SR-D)",20172018
6,Cameron Marks,SR,D,"North Vancouver, British Columbia",New Hampshire,north vancouver british columbia,"New Hampshire: 06 Cameron Marks - North Vancouver, British Columbia (SR-D)",20172018
7,Brendan van Riemsdyk,SO,F,"Middletown, New Jersey",New Hampshire,middletown new jersey,"New Hampshire: 07 Brendan van Riemsdyk - Middletown, New Jersey (SO-F)",20172018
8,Max Gildon,FR,D,"Plano, Texas",New Hampshire,plano texas,"New Hampshire: 08 Max Gildon - Plano, Texas (FR-D)",20172018
9,Frankie Cefalu,JR,F,"Buffalo, New York",New Hampshire,buffalo new york,"New Hampshire: 09 Frankie Cefalu - Buffalo, New York (JR-F)",20172018
10,Jason Salvaggio,SR,F,"Hanson, Massachusetts",New Hampshire,hanson massachusetts,"New Hampshire: 10 Jason Salvaggio - Hanson, Massachusetts (SR-F)",20172018
11,Michael McNicholas,SR,F,"Manhattan Beach, California",New Hampshire,manhattan beach california,"New Hampshire: 11 Michael McNicholas - Manhattan Beach, California (SR-F)",20172018
12,Shane Eiserman,SR,F,"Newburyport, Massachusetts",New Hampshire,newburyport massachusetts,"New Hampshire: 12 Shane Eiserman - Newburyport, Massachusetts (SR-F)",20172018
13,Justin Fregona,SO,F,"Mississauga, Ontario",New Hampshire,mississauga ontario,"New Hampshire: 13 Justin Fregona - Mississauga, Ontario (SO-F)",20172018
14,Joe Sacco,SO,F,"Reading, Massachusetts",New Hampshire,reading massachusetts,"New Hampshire: 14 Joe Sacco - Reading, Massachusetts (SO-F)",20172018
15,Richard Boyd,JR,D,"Delray Beach, Florida",New Hampshire,delray beach florida,"New Hampshire: 15 Richard Boyd - Delray Beach, Florida (JR-D)",20172018
17,Marcus Vela,JR,F,"Burnaby, British Columbia",New Hampshire,burnaby british columbia,"New Hampshire: 17 Marcus Vela - Burnaby, British Columbia (JR-F)",20172018
18,Kohei Sato,FR,F,"Nishitokyo, Japan",New Hampshire,nishitokyo japan,"New Hampshire: 18 Kohei Sato - Nishitokyo, Japan (FR-F)",20172018
19,Eric MacAdams,FR,F,"Salem, Massachusetts",New Hampshire,salem massachusetts,"New Hampshire: 19 Eric MacAdams - Salem, Massachusetts (FR-F)",20172018
20,Patrick Grasso,SO,F,"Ankeny, Iowa",New Hampshire,ankeny iowa,"New Hampshire: 20 Patrick Grasso - Ankeny, Iowa (SO-F)",20172018
21,Anthony Wyse,SO,D,"Newton, Massachusetts",New Hampshire,newton massachusetts,"New Hampshire: 21 Anthony Wyse - Newton, Massachusetts (SO-D)",20172018
22,Ara Nazarian,JR,F,"Boxford, Massachusetts",New Hampshire,boxford massachusetts,"New Hampshire: 22 Ara Nazarian - Boxford, Massachusetts (JR-F)",20172018
23,Charlie Kelleher,FR,F,"Longmeadow, Massachusetts",New Hampshire,longmeadow massachusetts,"New Hampshire: 23 Charlie Kelleher - Longmeadow, Massachusetts (FR-F)",20172018
25,Chris Miller,JR,F,"Windham, New Hampshire",New Hampshire,windham new hampshire,"New Hampshire: 25 Chris Miller - Windham, New Hampshire (JR-F)",20172018
26,Liam Blackburn,SO,F,"Prince George, British Columbia",New Hampshire,prince george british columbia,"New Hampshire: 26 Liam Blackburn - Prince George, British Columbia (SO-F)",20172018
27,Matt Dawson,JR,D,"Delta, British Columbia",New Hampshire,delta british columbia,"New Hampshire: 27 Matt Dawson - Delta, British Columbia (JR-D)",20172018
28,Benton Maass,FR,D,"Elk River, Minnesota",New Hampshire,elk river minnesota,"New Hampshire: 28 Benton Maass - Elk River, Minnesota (FR-D)",20172018
31,Mike Robinson,FR,G,"Bedford, New Hampshire",New Hampshire,bedford new hampshire,"New Hampshire: 31 Mike Robinson - Bedford, New Hampshire (FR-G)",20172018
33,Joe Lazzaro,SO,G,"Hampstead, New Hampshire",New Hampshire,hampstead new hampshire,"New Hampshire: 33 Joe Lazzaro - Hampstead, New Hampshire (SO-G)",20172018
35,Daniel Tirone,SR,G,"Trumbull, Connecticut",New Hampshire,trumbull connecticut,"New Hampshire: 35 Daniel Tirone - Trumbull, Connecticut (SR-G)",20172018
41,Adam Clark,SR,G,"Sherwood Park, Alberta",New Hampshire,sherwood park alberta,"New Hampshire: 41 Adam Clark - Sherwood Park, Alberta (SR-G)",20172018
1,Guillaume Therien,JR,G,"Mirabel, Quebec",Niagara,mirabel quebec,"Niagara: 01 Guillaume Therien - Mirabel, Quebec (JR-G)",20172018
2,Larry Smith,SR,D,"Grand Island, New York",Niagara,grand island new york,"Niagara: 02 Larry Smith - Grand Island, New York (SR-D)",20172018
3,James Roll,SR,D,"West Seneca, New York",Niagara,west seneca new york,"Niagara: 03 James Roll - West Seneca, New York (SR-D)",20172018
4,Chris Harpur,FR,D,"Niagara-on-the-Lake, Ontario",Niagara,niagaraonthelake ontario,"Niagara: 04 Chris Harpur - Niagara-on-the-Lake, Ontario (FR-D)",20172018
5,Tyler Hayes,SO,D,"Brighton, Michigan",Niagara,brighton michigan,"Niagara: 05 Tyler Hayes - Brighton, Michigan (SO-D)",20172018
7,Christian Cakebread,SO,F,"Gilbert, Arizona",Niagara,gilbert arizona,"Niagara: 07 Christian Cakebread - Gilbert, Arizona (SO-F)",20172018
8,Sam Rennaker,JR,F,"Grand Rapids, Michigan",Niagara,grand rapids michigan,"Niagara: 08 Sam Rennaker - Grand Rapids, Michigan (JR-F)",20172018
9,Eric Cooley,FR,F,"Pittsburgh, Pennsylvania",Niagara,pittsburgh pennsylvania,"Niagara: 09 Eric Cooley - Pittsburgh, Pennsylvania (FR-F)",20172018
10,Nic Mucci,FR,F,"Mississauga, Ontario",Niagara,mississauga ontario,"Niagara: 10 Nic Mucci - Mississauga, Ontario (FR-F)",20172018
11,Derian Plouffe,SR,C,"Shawville, Quebec",Niagara,shawville quebec,"Niagara: 11 Derian Plouffe - Shawville, Quebec (SR-C)",20172018
