"Number","Name","Class","Position","Hometown","Team","Simple.Hometown","Label"
15,"Jalen Schulz","SO","D","Cambridge, Minnesota","Nebraska-Omaha","cambridge minnesota","Nebraska-Omaha: 15 Jalen Schulz - Cambridge, Minnesota (SO-D)"
16,"Austin Ortega","SR","F","Escondido, California","Nebraska-Omaha","escondido california","Nebraska-Omaha: 16 Austin Ortega - Escondido, California (SR-F)"
17,"Luke Nogard","JR","F","Ancaster, Ontario","Nebraska-Omaha","ancaster ontario","Nebraska-Omaha: 17 Luke Nogard - Ancaster, Ontario (JR-F)"
18,"Dean Stewart","FR","D","Portage la Prairie, Manitoba","Nebraska-Omaha","portage la prairie manitoba","Nebraska-Omaha: 18 Dean Stewart - Portage la Prairie, Manitoba (FR-D)"
19,"Tristan Keck","FR","F","Morris, Manitoba","Nebraska-Omaha","morris manitoba","Nebraska-Omaha: 19 Tristan Keck - Morris, Manitoba (FR-F)"
20,"Ryan Jones","FR","D","Crown Point, Indiana","Nebraska-Omaha","crown point indiana","Nebraska-Omaha: 20 Ryan Jones - Crown Point, Indiana (FR-D)"
21,"Ryan Galt","SO","F","Omaha, Nebraska","Nebraska-Omaha","omaha nebraska","Nebraska-Omaha: 21 Ryan Galt - Omaha, Nebraska (SO-F)"
22,"Jordan Klehr","SO","D","Lino Lakes, Minnesota","Nebraska-Omaha","lino lakes minnesota","Nebraska-Omaha: 22 Jordan Klehr - Lino Lakes, Minnesota (SO-D)"
23,"Grant Gallo","JR","D","San Diego, California","Nebraska-Omaha","san diego california","Nebraska-Omaha: 23 Grant Gallo - San Diego, California (JR-D)"
24,"Ian Brady","SR","D","Lombard, Illinois","Nebraska-Omaha","lombard illinois","Nebraska-Omaha: 24 Ian Brady - Lombard, Illinois (SR-D)"
25,"Justin Parizek","SR","F","Lakeville, Minnesota","Nebraska-Omaha","lakeville minnesota","Nebraska-Omaha: 25 Justin Parizek - Lakeville, Minnesota (SR-F)"
26,"Steven Spinner","SO","F","Eden Prairie, Minnesota","Nebraska-Omaha","eden prairie minnesota","Nebraska-Omaha: 26 Steven Spinner - Eden Prairie, Minnesota (SO-F)"
27,"Zach Jordan","FR","F","Collinsville, Illinois","Nebraska-Omaha","collinsville illinois","Nebraska-Omaha: 27 Zach Jordan - Collinsville, Illinois (FR-F)"
28,"Fredrik Olofsson","SO","F","Broomfield, Colorado","Nebraska-Omaha","broomfield colorado","Nebraska-Omaha: 28 Fredrik Olofsson - Broomfield, Colorado (SO-F)"
33,"Kris Oldham","FR","G","Anchorage, Alaska","Nebraska-Omaha","anchorage alaska","Nebraska-Omaha: 33 Kris Oldham - Anchorage, Alaska (FR-G)"
35,"Evan Weninger","SO","G","Saskatoon, Saskatchewan","Nebraska-Omaha","saskatoon saskatchewan","Nebraska-Omaha: 35 Evan Weninger - Saskatoon, Saskatchewan (SO-G)"
2,"Matias Cleland","SR","D","Longmont, Colorado","New Hampshire","longmont colorado","New Hampshire: 02 Matias Cleland - Longmont, Colorado (SR-D)"
4,"Dylan Maller","SR","D","Parkland, Florida","New Hampshire","parkland florida","New Hampshire: 04 Dylan Maller - Parkland, Florida (SR-D)"
5,"Dylan Chanter","JR","D","Armstrong, British Columbia","New Hampshire","armstrong british columbia","New Hampshire: 05 Dylan Chanter - Armstrong, British Columbia (JR-D)"
6,"Cameron Marks","JR","D","North Vancouver, British Columbia","New Hampshire","north vancouver british columbia","New Hampshire: 06 Cameron Marks - North Vancouver, British Columbia (JR-D)"
7,"Brendan van Riemsdyk","FR","F","Middletown, New Jersey","New Hampshire","middletown new jersey","New Hampshire: 07 Brendan van Riemsdyk - Middletown, New Jersey (FR-F)"
8,"Jamie Hill","SR","F","Glassboro, New Jersey","New Hampshire","glassboro new jersey","New Hampshire: 08 Jamie Hill - Glassboro, New Jersey (SR-F)"
9,"Frankie Cefalu","SO","F","Buffalo, New York","New Hampshire","buffalo new york","New Hampshire: 09 Frankie Cefalu - Buffalo, New York (SO-F)"
10,"Jason Salvaggio","JR","F","Hanson, Massachusetts","New Hampshire","hanson massachusetts","New Hampshire: 10 Jason Salvaggio - Hanson, Massachusetts (JR-F)"
11,"Michael McNicholas","JR","F","Manhattan Beach, California","New Hampshire","manhattan beach california","New Hampshire: 11 Michael McNicholas - Manhattan Beach, California (JR-F)"
12,"Shane Eiserman","JR","F","Newburyport, Massachusetts","New Hampshire","newburyport massachusetts","New Hampshire: 12 Shane Eiserman - Newburyport, Massachusetts (JR-F)"
13,"Justin Fregona","FR","F","Mississauga, Ontario","New Hampshire","mississauga ontario","New Hampshire: 13 Justin Fregona - Mississauga, Ontario (FR-F)"
14,"Joe Sacco","FR","F","Reading, Massachusetts","New Hampshire","reading massachusetts","New Hampshire: 14 Joe Sacco - Reading, Massachusetts (FR-F)"
15,"Richard Boyd","JR","D","Delray Beach, Florida","New Hampshire","delray beach florida","New Hampshire: 15 Richard Boyd - Delray Beach, Florida (JR-D)"
16,"Tyler Kelleher","SR","F","Longmeadow, Massachusetts","New Hampshire","longmeadow massachusetts","New Hampshire: 16 Tyler Kelleher - Longmeadow, Massachusetts (SR-F)"
17,"Marcus Vela","SO","F","Burnaby, British Columbia","New Hampshire","burnaby british columbia","New Hampshire: 17 Marcus Vela - Burnaby, British Columbia (SO-F)"
20,"Patrick Grasso","FR","F","Ankeny, Iowa","New Hampshire","ankeny iowa","New Hampshire: 20 Patrick Grasso - Ankeny, Iowa (FR-F)"
21,"Anthony Wyse","FR","D","Newton, Massachusetts","New Hampshire","newton massachusetts","New Hampshire: 21 Anthony Wyse - Newton, Massachusetts (FR-D)"
22,"Ara Nazarian","SO","F","Boxford, Massachusetts","New Hampshire","boxford massachusetts","New Hampshire: 22 Ara Nazarian - Boxford, Massachusetts (SO-F)"
24,"Nick Nonis","FR","D","Hampton Falls, New Hampshire","New Hampshire","hampton falls new hampshire","New Hampshire: 24 Nick Nonis - Hampton Falls, New Hampshire (FR-D)"
25,"Chris Miller","SO","F","Windham, New Hampshire","New Hampshire","windham new hampshire","New Hampshire: 25 Chris Miller - Windham, New Hampshire (SO-F)"
26,"Liam Blackburn","FR","F","Prince George, British Columbia","New Hampshire","prince george british columbia","New Hampshire: 26 Liam Blackburn - Prince George, British Columbia (FR-F)"
27,"Matt Dawson","SO","D","Delta, British Columbia","New Hampshire","delta british columbia","New Hampshire: 27 Matt Dawson - Delta, British Columbia (SO-D)"
33,"Joe Lazzaro","FR","G","Hampstead, New Hampshire","New Hampshire","hampstead new hampshire","New Hampshire: 33 Joe Lazzaro - Hampstead, New Hampshire (FR-G)"
35,"Daniel Tirone","JR","G","Trumbull, Connecticut","New Hampshire","trumbull connecticut","New Hampshire: 35 Daniel Tirone - Trumbull, Connecticut (JR-G)"
41,"Adam Clark","JR","G","Sherwood Park, Alberta","New Hampshire","sherwood park alberta","New Hampshire: 41 Adam Clark - Sherwood Park, Alberta (JR-G)"
1,"Guillaume Th rien","SO","G","Mirabel, Quebec","Niagara","mirabel quebec","Niagara: 01 Guillaume Th rien - Mirabel, Quebec (SO-G)"
2,"Larry Smith","JR","D","Grand Island, New York","Niagara","grand island new york","Niagara: 02 Larry Smith - Grand Island, New York (JR-D)"
3,"Vinny Muto","SR","D","Niagara Falls, New York","Niagara","niagara falls new york","Niagara: 03 Vinny Muto - Niagara Falls, New York (SR-D)"
4,"Kevin Patterson","SR","D","Colorado Springs, Colorado","Niagara","colorado springs colorado","Niagara: 04 Kevin Patterson - Colorado Springs, Colorado (SR-D)"
5,"Tyler Hayes","FR","D","Brighton, Michigan","Niagara","brighton michigan","Niagara: 05 Tyler Hayes - Brighton, Michigan (FR-D)"
7,"Christian Cakebread","FR","F","Gilbert, Arizona","Niagara","gilbert arizona","Niagara: 07 Christian Cakebread - Gilbert, Arizona (FR-F)"
8,"Sam Rennaker","SO","F","Grand Rapids, Michigan","Niagara","grand rapids michigan","Niagara: 08 Sam Rennaker - Grand Rapids, Michigan (SO-F)"
9,"Stephen Pietrobon","SR","C","Toronto, Ontario","Niagara","toronto ontario","Niagara: 09 Stephen Pietrobon - Toronto, Ontario (SR-C)"
10,"Caleb Boman","FR","D","Sault Ste. Marie, Ontario","Niagara","sault ste marie ontario","Niagara: 10 Caleb Boman - Sault Ste. Marie, Ontario (FR-D)"
11,"Derian Plouffe","JR","C","Shawville, Quebec","Niagara","shawville quebec","Niagara: 11 Derian Plouffe - Shawville, Quebec (JR-C)"
12,"Nick Farmer","SO","F","Spokane, Washington","Niagara","spokane washington","Niagara: 12 Nick Farmer - Spokane, Washington (SO-F)"
14,"Johnny Curran","SO","F","Niagara Falls, Ontario","Niagara","niagara falls ontario","Niagara: 14 Johnny Curran - Niagara Falls, Ontario (SO-F)"
15,"Kris Spriggs","FR","F","Edmonton, Alberta","Niagara","edmonton alberta","Niagara: 15 Kris Spriggs - Edmonton, Alberta (FR-F)"
16,"Ryan Kuhn","SO","F","Wheatfield, New York","Niagara","wheatfield new york","Niagara: 16 Ryan Kuhn - Wheatfield, New York (SO-F)"
17,"Stanislav Dzakhov","JR","F","Vladikavkaz, Russia","Niagara","vladikavkaz russia","Niagara: 17 Stanislav Dzakhov - Vladikavkaz, Russia (JR-F)"
18,"Derek Brown","FR","F","Peoria, Arizona","Niagara","peoria arizona","Niagara: 18 Derek Brown - Peoria, Arizona (FR-F)"
19,"Tanner Lomsnes","SO","F","Red Deer, Alberta","Niagara","red deer alberta","Niagara: 19 Tanner Lomsnes - Red Deer, Alberta (SO-F)"
20,"Noah Delmas","FR","D","Schomberg, Ontario","Niagara","schomberg ontario","Niagara: 20 Noah Delmas - Schomberg, Ontario (FR-D)"
21,"TJ Sarcona","SR","C","West Islip, New York","Niagara","west islip new york","Niagara: 21 TJ Sarcona - West Islip, New York (SR-C)"
22,"Tyler Tomberlin","FR","F","Andover, Minnesota","Niagara","andover minnesota","Niagara: 22 Tyler Tomberlin - Andover, Minnesota (FR-F)"
23,"Niko Kovachis","SO","D","Mississauga, Ontario","Niagara","mississauga ontario","Niagara: 23 Niko Kovachis - Mississauga, Ontario (SO-D)"
24,"Ben Sokay","FR","F","Port Hope, Ontario","Niagara","port hope ontario","Niagara: 24 Ben Sokay - Port Hope, Ontario (FR-F)"
25,"Andrew Pizzo","FR","D","Thorold, Ontario","Niagara","thorold ontario","Niagara: 25 Andrew Pizzo - Thorold, Ontario (FR-D)"
26,"Joey Molinaro","FR","F","Mississauga, Ontario","Niagara","mississauga ontario","Niagara: 26 Joey Molinaro - Mississauga, Ontario (FR-F)"
27,"Sean King","SO","F","Newmarket, Ontario","Niagara","newmarket ontario","Niagara: 27 Sean King - Newmarket, Ontario (SO-F)"
28,"Nicolas Carrier","FR","F","Delson, Quebec","Niagara","delson quebec","Niagara: 28 Nicolas Carrier - Delson, Quebec (FR-F)"
29,"Keegan Harper","JR","D","Ottawa, Ontario","Niagara","ottawa ontario","Niagara: 29 Keegan Harper - Ottawa, Ontario (JR-D)"
30,"Jackson Teichroeb","SR","G","London, Ontario","Niagara","london ontario","Niagara: 30 Jackson Teichroeb - London, Ontario (SR-G)"
31,"Joe O'Brien","SO","G","Brentwood, Missouri","Niagara","brentwood missouri","Niagara: 31 Joe O'Brien - Brentwood, Missouri (SO-G)"
3,"Tucker Poolman","JR","D","East Grand Forks, Minnesota","North Dakota","east grand forks minnesota","North Dakota: 03 Tucker Poolman - East Grand Forks, Minnesota (JR-D)"
4,"Andrew Peski","FR","D","Orleans, Ontario","North Dakota","orleans ontario","North Dakota: 04 Andrew Peski - Orleans, Ontario (FR-D)"
5,"Casey Johnson","FR","D","Grand Forks, North Dakota","North Dakota","grand forks north dakota","North Dakota: 05 Casey Johnson - Grand Forks, North Dakota (FR-D)"
6,"Colton Poolman","FR","D","East Grand Forks, Minnesota","North Dakota","east grand forks minnesota","North Dakota: 06 Colton Poolman - East Grand Forks, Minnesota (FR-D)"
7,"Zach Yon","FR","F","Roseau, Minnesota","North Dakota","roseau minnesota","North Dakota: 07 Zach Yon - Roseau, Minnesota (FR-F)"
9,"Dixon Bowen","FR","F","East Grand Forks, Minnesota","North Dakota","east grand forks minnesota","North Dakota: 09 Dixon Bowen - East Grand Forks, Minnesota (FR-F)"
10,"Johnny Simonson","JR","F","Grand Forks, North Dakota","North Dakota","grand forks north dakota","North Dakota: 10 Johnny Simonson - Grand Forks, North Dakota (JR-F)"
11,"Trevor Olson","JR","F","Duluth, Minnesota","North Dakota","duluth minnesota","North Dakota: 11 Trevor Olson - Duluth, Minnesota (JR-F)"
13,"Mike Gornall","SO","F","Irwin, Pennsylvania","North Dakota","irwin pennsylvania","North Dakota: 13 Mike Gornall - Irwin, Pennsylvania (SO-F)"
14,"Austin Poganski","JR","F","St. Cloud, Minnesota","North Dakota","st cloud minnesota","North Dakota: 14 Austin Poganski - St. Cloud, Minnesota (JR-F)"
16,"Brock Boeser","SO","F","Burnsville, Minnesota","North Dakota","burnsville minnesota","North Dakota: 16 Brock Boeser - Burnsville, Minnesota (SO-F)"
17,"Tyson Jost","FR","F","St. Albert, Alberta","North Dakota","st albert alberta","North Dakota: 17 Tyson Jost - St. Albert, Alberta (FR-F)"
18,"Chris Wilkie","SO","F","Omaha, Nebraska","North Dakota","omaha nebraska","North Dakota: 18 Chris Wilkie - Omaha, Nebraska (SO-F)"
19,"Shane Gersich","SO","F","Chaska, Minnesota","North Dakota","chaska minnesota","North Dakota: 19 Shane Gersich - Chaska, Minnesota (SO-F)"
20,"Gage Ausmus","SR","D","East Grand Forks, Minnesota","North Dakota","east grand forks minnesota","North Dakota: 20 Gage Ausmus - East Grand Forks, Minnesota (SR-D)"
21,"Danys Chartrand","SO","D","Winnipeg, Manitoba","North Dakota","winnipeg manitoba","North Dakota: 21 Danys Chartrand - Winnipeg, Manitoba (SO-D)"
22,"Rhett Gardner","SO","F","Moose Jaw, Saskatchewan","North Dakota","moose jaw saskatchewan","North Dakota: 22 Rhett Gardner - Moose Jaw, Saskatchewan (SO-F)"
24,"Christian Wolanin","SO","D","Detroit, Michigan","North Dakota","detroit michigan","North Dakota: 24 Christian Wolanin - Detroit, Michigan (SO-D)"
25,"Joel Janatuinen","SO","F","Espoo, Finland","North Dakota","espoo finland","North Dakota: 25 Joel Janatuinen - Espoo, Finland (SO-F)"
26,"Cole Smith","FR","F","Brainerd, Minnesota","North Dakota","brainerd minnesota","North Dakota: 26 Cole Smith - Brainerd, Minnesota (FR-F)"
27,"Ludvig Hoff","FR","F","Oslo, Norway","North Dakota","oslo norway","North Dakota: 27 Ludvig Hoff - Oslo, Norway (FR-F)"
28,"Hayden Shaw","SO","D","Woodbury, Minnesota","North Dakota","woodbury minnesota","North Dakota: 28 Hayden Shaw - Woodbury, Minnesota (SO-D)"
30,"Matt Hrynkiw","SR","G","Saskatoon, Saskatchewan","North Dakota","saskatoon saskatchewan","North Dakota: 30 Matt Hrynkiw - Saskatoon, Saskatchewan (SR-G)"
31,"Matej Tomek","SO","G","Bratislava, Slovakia","North Dakota","bratislava slovakia","North Dakota: 31 Matej Tomek - Bratislava, Slovakia (SO-G)"
33,"Cam Johnson","JR","G","Flint, Michigan","North Dakota","flint michigan","North Dakota: 33 Cam Johnson - Flint, Michigan (JR-G)"
35,"Ryan Anderson","SO","G","Roseau, Minnesota","North Dakota","roseau minnesota","North Dakota: 35 Ryan Anderson - Roseau, Minnesota (SO-G)"
1,"Jake Theut","JR","G","Washington, Michigan","Northeastern","washington michigan","Northeastern: 01 Jake Theut - Washington, Michigan (JR-G)"
2,"Trevor Owens","JR","D","Raleigh, North Carolina","Northeastern","raleigh north carolina","Northeastern: 02 Trevor Owens - Raleigh, North Carolina (JR-D)"
3,"Nick Fiorentino","FR","D","Hartsdale, New York","Northeastern","hartsdale new york","Northeastern: 03 Nick Fiorentino - Hartsdale, New York (FR-D)"
4,"Jeremy Davies","FR","D","Sainte-Anne-de-Bellevue, Qu<U+FFFD>bec","Northeastern","sainteannedebellevue qu<U+FFFD>bec","Northeastern: 04 Jeremy Davies - Sainte-Anne-de-Bellevue, Qu<U+FFFD>bec (FR-D)"
5,"Ryan Shea","FR","D","Milton, Massachusetts","Northeastern","milton massachusetts","Northeastern: 05 Ryan Shea - Milton, Massachusetts (FR-D)"
6,"Jon Barry","SO","D","Hanover, Massachusetts","Northeastern","hanover massachusetts","Northeastern: 06 Jon Barry - Hanover, Massachusetts (SO-D)"
7,"John Picking","FR","F","Wellesley, Massachusetts","Northeastern","wellesley massachusetts","Northeastern: 07 John Picking - Wellesley, Massachusetts (FR-F)"
8,"Adam Gaudette","SO","F","Braintree, Massachusetts","Northeastern","braintree massachusetts","Northeastern: 08 Adam Gaudette - Braintree, Massachusetts (SO-F)"
9,"Dylan Sikura","JR","F","Aurora, Ontario","Northeastern","aurora ontario","Northeastern: 09 Dylan Sikura - Aurora, Ontario (JR-F)"
10,"Sam Kurker","SR","F","Reading, Massachusetts","Northeastern","reading massachusetts","Northeastern: 10 Sam Kurker - Reading, Massachusetts (SR-F)"
11,"Jake Schechter","SR","D","Naples, Florida","Northeastern","naples florida","Northeastern: 11 Jake Schechter - Naples, Florida (SR-D)"
12,"Zach Aston-Reese","SR","F","Staten Island, New York","Northeastern","staten island new york","Northeastern: 12 Zach Aston-Reese - Staten Island, New York (SR-F)"
13,"Biagio Lerario","FR","F","Addison, Illinois","Northeastern","addison illinois","Northeastern: 13 Biagio Lerario - Addison, Illinois (FR-F)"
14,"Garret Cockerill","JR","D","Brighton, Michigan","Northeastern","brighton michigan","Northeastern: 14 Garret Cockerill - Brighton, Michigan (JR-D)"
15,"Grant Jozefek","FR","F","Chester, New Jersey","Northeastern","chester new jersey","Northeastern: 15 Grant Jozefek - Chester, New Jersey (FR-F)"
16,"Brendan Collier","SR","F","Charlestown, Massachusetts","Northeastern","charlestown massachusetts","Northeastern: 16 Brendan Collier - Charlestown, Massachusetts (SR-F)"
17,"Matt Filipe","FR","F","Lynnfield, Massachusetts","Northeastern","lynnfield massachusetts","Northeastern: 17 Matt Filipe - Lynnfield, Massachusetts (FR-F)"
18,"John Stevens","SR","F","Sea Isle City, New Jersey","Northeastern","sea isle city new jersey","Northeastern: 18 John Stevens - Sea Isle City, New Jersey (SR-F)"
19,"Lincoln Griffin","SO","F","Walpole, Massachusetts","Northeastern","walpole massachusetts","Northeastern: 19 Lincoln Griffin - Walpole, Massachusetts (SO-F)"
20,"Eric Williams","SO","D","Newmarket, Ontario","Northeastern","newmarket ontario","Northeastern: 20 Eric Williams - Newmarket, Ontario (SO-D)"
21,"Nolan Stevens","JR","F","Sea Isle City, New Jersey","Northeastern","sea isle city new jersey","Northeastern: 21 Nolan Stevens - Sea Isle City, New Jersey (JR-F)"
22,"Tanner Pond","SR","F","Walled Lake, Michigan","Northeastern","walled lake michigan","Northeastern: 22 Tanner Pond - Walled Lake, Michigan (SR-F)"
24,"Mike Jamieson","SR","F","Billerica, Massachusetts","Northeastern","billerica massachusetts","Northeastern: 24 Mike Jamieson - Billerica, Massachusetts (SR-F)"
25,"Patrick Schule","SO","F","Queens, New York","Northeastern","queens new york","Northeastern: 25 Patrick Schule - Queens, New York (SO-F)"
26,"Ryan Rosenthal","SR","F","Montvale, New Jersey","Northeastern","montvale new jersey","Northeastern: 26 Ryan Rosenthal - Montvale, New Jersey (SR-F)"
29,"Garrett Cecere","JR","D","West Des Moines, Iowa","Northeastern","west des moines iowa","Northeastern: 29 Garrett Cecere - West Des Moines, Iowa (JR-D)"
31,"Curtis Frye","FR","G","Northwood, New Hampshire","Northeastern","northwood new hampshire","Northeastern: 31 Curtis Frye - Northwood, New Hampshire (FR-G)"
41,"Ryan Ruck","SO","G","Coto de Caza, California","Northeastern","coto de caza california","Northeastern: 41 Ryan Ruck - Coto de Caza, California (SO-G)"
1,"Tyger Howat","FR","G","Brighton, Michigan","Northern Michigan","brighton michigan","Northern Michigan: 01 Tyger Howat - Brighton, Michigan (FR-G)"
2,"Casey Purpur","SR","F","Grand Forks, North Dakota","Northern Michigan","grand forks north dakota","Northern Michigan: 02 Casey Purpur - Grand Forks, North Dakota (SR-F)"
