"Rk","Player","Start.Year","End.Date","Position","GP","G","A","PTS","Plus-Minus","PIM","W","L","TO","SV","GAA","Birthplace","Birth.Date","Death.Date"
"653","Jonathan Racine","2014","2014","D","1","0","0","0","-1","2","","","","","","Montreal","1993-05-28",""
"654","Yves Racine","1990","1998","D","508","37","194","231","-39","439","","","","","","Matane","1969-02-07",""
"655","Les Ramsay","1945","1945","LW","11","2","2","4","","2","","","","","","Verdun","1920-07-01",""
"656","Jean Ratelle*","1961","1981","C","1281","491","776","1267","299","276","","","","","","Lac St-Jean","1940-10-03",""
"657","Jake Rathwell","1975","1975","RW","1","0","0","0","0","0","","","","","","Temiscamingue","1947-08-12",""
"658","Alain Raymond","1988","1988","G","1","0","0","0","0","0","0","1","0",".900","3.00","Rimouski","1965-06-24",""
"659","Paul Raymond","1933","1939","RW","76","2","3","5","","6","","","","","","Montreal","1913-02-27","1995-04-04"
"660","Mel Read","1947","1947","C","1","0","0","0","","0","","","","","","Montreal","1922-04-10","2005-07-09"
"661","Brandon Reid","2003","2007","C","13","2","4","6","4","0","","","","","","Kirkland","1981-03-09",""
"662","Herb Rheaume","1926","1926","G","31","0","0","0","","0","10","20","1","","2.92","Mason","1900-01-12","1955-01-01"
"663","Pascal Rheaume","1997","2006","C","318","39","52","91","-10","144","","","","","","Quebec City","1973-06-21",""
"664","Mike Ribeiro","2000","2017","C","1074","228","565","793","5","577","","","","","","Montreal","1980-02-10",""
"665","Henri Richard*","1956","1975","C","1256","358","688","1046","126","928","","","","","","Montreal","1936-02-29",""
"666","Jacques Richard","1973","1983","LW","556","160","187","347","-74","307","","","","","","Quebec City","1952-10-07","2002-10-08"
"667","Jean-Marc Richard","1988","1990","D","5","2","1","3","-4","2","","","","","","St-Raymond","1966-10-08",""
"668","Maurice Richard*","1943","1960","RW","978","544","421","965","","1285","","","","","","Montreal","1921-08-04","2000-05-27"
"669","Bob Richer","1973","1973","C","3","0","0","0","0","0","","","","","","Cowansville","1951-03-05",""
"670","Stephane Richer","1993","1995","D","27","1","5","6","-10","20","","","","","","Hull","1966-04-23",""
"671","Stephane Richer","1985","2002","RW","1054","421","398","819","76","614","","","","","","Ripon","1966-06-07",""
"672","Vincent Riendeau","1988","1995","G","184","0","4","4","0","14","85","65","20",".880","3.30","St-Hyacinthe","1966-04-20",""
"673","Pierre Rioux","1983","1983","RW","14","1","2","3","-3","4","","","","","","Quebec City","1962-02-01",""
"674","Bob Ritchie","1977","1978","LW","29","8","4","12","-14","10","","","","","","Laverlochere","1955-02-20",""
"675","Dave Ritchie","1918","1926","D","58","15","6","21","","50","","","","","","Montreal","1892-01-12",""
"676","Bob Rivard","1968","1968","C/LW","27","5","12","17","0","4","","","","","","Sherbrooke","1939-08-01",""
"677","Fern Rivard","1969","1975","G","55","0","0","0","0","10","9","27","11","","3.98","Grand'Mere","1946-01-18",""
"678","Mario Roberge","1991","1995","LW","112","7","7","14","-1","314","","","","","","Quebec City","1964-01-25",""
"679","Serge Roberge","1991","1991","RW","9","0","0","0","0","24","","","","","","Quebec City","1965-03-31",""
"680","Claude Robert","1951","1951","LW","23","1","0","1","","9","","","","","","Montreal","1928-08-10","2007-01-06"
